123.16.195.111 - - [05/May/2017:09:26:34 +0700] "GET /WebBanHang/upload/productimg/34533_gmx_volcanoblue_bigproductimage.jpg HTTP/1.1" 200 79532
123.16.195.111 - - [05/May/2017:09:26:35 +0700] "GET /WebBanHang/upload/productimg/35319_vgin062_001.png HTTP/1.1" 200 254146
123.16.195.111 - - [05/May/2017:09:26:35 +0700] "GET /WebBanHang/upload/productimg/36104_acer_aspire_xc_780_dt_b5asv_002.jpg HTTP/1.1" 200 27609
123.16.195.111 - - [05/May/2017:09:26:35 +0700] "GET /WebBanHang/upload/productimg/33308_003.png HTTP/1.1" 200 235569
123.16.195.111 - - [05/May/2017:09:26:35 +0700] "GET /WebBanHang/null HTTP/1.1" 404 1035
123.16.195.111 - - [05/May/2017:09:26:35 +0700] "GET /WebBanHang/frontend/images/x42.png HTTP/1.1" 200 669
123.16.195.111 - - [05/May/2017:09:26:35 +0700] "GET /WebBanHang/frontend/images/6x42.png HTTP/1.1" 200 2348
123.16.195.111 - - [05/May/2017:09:26:35 +0700] "GET /WebBanHang/frontend/images/9x42.png HTTP/1.1" 200 2430
123.16.195.111 - - [05/May/2017:09:26:35 +0700] "GET /WebBanHang/frontend/images/0x42.png HTTP/1.1" 200 2436
123.16.195.111 - - [05/May/2017:09:26:35 +0700] "GET /WebBanHang/frontend/images/1x42.png HTTP/1.1" 200 1746
123.16.195.111 - - [05/May/2017:09:26:35 +0700] "GET /WebBanHang/frontend/images/8x42.png HTTP/1.1" 200 2305
123.16.195.111 - - [05/May/2017:09:26:35 +0700] "GET /WebBanHang/frontend/images/5x42.png HTTP/1.1" 200 2198
123.16.195.111 - - [05/May/2017:09:26:35 +0700] "GET /WebBanHang/frontend/images/4x42.png HTTP/1.1" 200 2321
123.16.195.111 - - [05/May/2017:09:26:35 +0700] "GET /WebBanHang/frontend/images/2x42.png HTTP/1.1" 200 2300
123.16.195.111 - - [05/May/2017:09:26:35 +0700] "GET /WebBanHang/frontend/images/3x42.png HTTP/1.1" 200 2393
123.16.195.111 - - [05/May/2017:09:26:35 +0700] "GET /WebBanHang/frontend/images/7x42.png HTTP/1.1" 200 2139
123.16.195.111 - - [05/May/2017:09:26:35 +0700] "GET /WebBanHang/frontend/images/arrows.png HTTP/1.1" 200 824
123.16.195.111 - - [05/May/2017:09:26:35 +0700] "GET /favicon.ico HTTP/1.1" 404 1027
183.3.234.56 - - [05/May/2017:09:27:59 +0700] "CONNECT www.baidu.com:443 HTTP/1.1" 400 -
46.174.191.32 - - [05/May/2017:12:00:55 +0700] "GET / HTTP/1.0" 404 994
113.190.218.171 - - [05/May/2017:14:09:01 +0700] "GET / HTTP/1.1" 404 994
113.190.218.171 - - [05/May/2017:14:09:02 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
