0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/upload/productimg/35094_25248_0_may_chu_intel.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/upload/productimg/31335_pc_asus__m32cd_vn016d.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/upload/productimg/35319_vgin062_001.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/upload/productimg/36104_acer_aspire_xc_780_dt_b5asv_002.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/upload/productimg/33308_003.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/null HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/images/1x42.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/images/x42.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/images/6x42.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/images/9x42.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/images/8x42.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/images/3x42.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/images/2x42.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/images/0x42.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/images/5x42.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/images/4x42.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:50 +0700] "GET /WebBanHang/frontend/images/bullets.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:50 +0700] "GET /WebBanHang/frontend/images/arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:59 +0700] "GET /WebBanHang/frontend/page.jsp?paction=category&cid=6 HTTP/1.1" 200 16967
0:0:0:0:0:0:0:1 - - [06/May/2017:23:26:03 +0700] "GET /WebBanHang HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:26:03 +0700] "GET /WebBanHang/ HTTP/1.1" 200 89937
0:0:0:0:0:0:0:1 - - [06/May/2017:23:26:03 +0700] "GET /WebBanHang/null HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [06/May/2017:23:26:06 +0700] "GET /WebBanHang/frontend/css/jquery.fancybox.css?v=2.1.6 HTTP/1.1" 200 5273
0:0:0:0:0:0:0:1 - - [06/May/2017:23:26:06 +0700] "GET /WebBanHang/frontend/page.jsp?paction=detail&prid=15 HTTP/1.1" 200 26427
0:0:0:0:0:0:0:1 - - [06/May/2017:23:26:06 +0700] "GET /WebBanHang/frontend/css/magiczoom.css HTTP/1.1" 200 2043
0:0:0:0:0:0:0:1 - - [06/May/2017:23:26:06 +0700] "GET /WebBanHang/frontend/css/jquery.fancybox-buttons.css?v=1.0.5 HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [06/May/2017:23:26:06 +0700] "GET /WebBanHang/frontend/js/jquery.fancybox-buttons.js?v=1.0.5 HTTP/1.1" 200 3164
0:0:0:0:0:0:0:1 - - [06/May/2017:23:26:06 +0700] "GET /WebBanHang/frontend/js/magiczoom.js HTTP/1.1" 200 63663
0:0:0:0:0:0:0:1 - - [06/May/2017:23:26:06 +0700] "GET /WebBanHang/frontend/js/jquery.fancybox.pack.js?v=2.1.6 HTTP/1.1" 200 23232
0:0:0:0:0:0:0:1 - - [06/May/2017:23:26:06 +0700] "GET /WebBanHang/frontend/images/icons-common2.svg HTTP/1.1" 200 153794
0:0:0:0:0:0:0:1 - - [06/May/2017:23:26:07 +0700] "GET /WebBanHang/frontend/images/hint.gif HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [06/May/2017:23:27:19 +0700] "GET /WebBanHang HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:27:20 +0700] "GET /WebBanHang/ HTTP/1.1" 200 89937
0:0:0:0:0:0:0:1 - - [06/May/2017:23:27:20 +0700] "GET /WebBanHang/frontend/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:27:21 +0700] "GET /WebBanHang/null HTTP/1.1" 404 1024
42.112.158.207 - - [06/May/2017:23:30:37 +0700] "GET /WebBanHang HTTP/1.0" 302 -
42.112.158.207 - - [06/May/2017:23:30:37 +0700] "GET /WebBanHang/ HTTP/1.0" 200 89820
42.112.158.207 - - [06/May/2017:23:30:37 +0700] "GET /WebBanHang/frontend/css/style.css HTTP/1.0" 304 -
42.112.158.207 - - [06/May/2017:23:30:37 +0700] "GET /WebBanHang/frontend/css/single.css HTTP/1.0" 304 -
42.112.158.207 - - [06/May/2017:23:30:37 +0700] "GET /WebBanHang/frontend/css/bootstrap.css HTTP/1.0" 304 -
42.112.158.207 - - [06/May/2017:23:30:37 +0700] "GET /WebBanHang/frontend/css/font-awesome.min.css HTTP/1.0" 304 -
42.112.158.207 - - [06/May/2017:23:30:37 +0700] "GET /WebBanHang/frontend/js/jquery-1.8.2.min.js HTTP/1.0" 200 93439
42.112.158.207 - - [06/May/2017:23:30:37 +0700] "GET /WebBanHang/frontend/js/common.js HTTP/1.0" 200 21929
42.112.158.207 - - [06/May/2017:23:30:37 +0700] "GET /WebBanHang/frontend/js/owl.carousel.js HTTP/1.0" 200 54413
42.112.158.207 - - [06/May/2017:23:30:37 +0700] "GET /WebBanHang/frontend/css/nivo-slider.css HTTP/1.0" 200 2058
42.112.158.207 - - [06/May/2017:23:30:37 +0700] "GET /WebBanHang/frontend/js/bootstrap.min.js HTTP/1.0" 200 29115
42.112.158.207 - - [06/May/2017:23:30:37 +0700] "GET /WebBanHang/frontend/css/default.css HTTP/1.0" 200 2139
42.112.158.207 - - [06/May/2017:23:30:37 +0700] "GET /WebBanHang/frontend/css/common.css HTTP/1.0" 200 1808
42.112.158.207 - - [06/May/2017:23:30:37 +0700] "GET /WebBanHang/frontend/css/owl.carousel.css HTTP/1.0" 200 1547
42.112.158.207 - - [06/May/2017:23:30:37 +0700] "GET /WebBanHang/frontend/css/owl.theme.css HTTP/1.0" 200 1743
42.112.158.207 - - [06/May/2017:23:30:37 +0700] "GET /WebBanHang/frontend/css/jquery-ui.css HTTP/1.0" 200 38636
42.112.158.207 - - [06/May/2017:23:30:37 +0700] "GET /WebBanHang/frontend/js/jquery.nivo.slider.js HTTP/1.0" 200 29774
42.112.158.207 - - [06/May/2017:23:30:37 +0700] "GET /WebBanHang/frontend/js/jquery-ui.js HTTP/1.0" 200 539419
42.112.158.207 - - [06/May/2017:23:30:38 +0700] "GET /WebBanHang/frontend/pictures/logo.jpg HTTP/1.0" 200 135384
42.112.158.207 - - [06/May/2017:23:30:38 +0700] "GET /WebBanHang/frontend/pictures/banner2.jpg HTTP/1.0" 200 62827
42.112.158.207 - - [06/May/2017:23:30:38 +0700] "GET /WebBanHang/frontend/pictures/tv.gif HTTP/1.0" 200 110340
42.112.158.207 - - [06/May/2017:23:30:38 +0700] "GET /WebBanHang/frontend/pictures/banner4.jpg HTTP/1.0" 200 42137
42.112.158.207 - - [06/May/2017:23:30:38 +0700] "GET /WebBanHang/frontend/pictures/banner1.jpg HTTP/1.0" 200 30429
42.112.158.207 - - [06/May/2017:23:30:38 +0700] "GET /WebBanHang/frontend/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.0" 200 77160
42.112.158.207 - - [06/May/2017:23:30:38 +0700] "GET /WebBanHang/frontend/pictures/banner3.jpg HTTP/1.0" 200 24772
42.112.158.207 - - [06/May/2017:23:30:38 +0700] "GET /WebBanHang/upload/productimg/34996_pen_g4560.jpg HTTP/1.0" 200 134170
42.112.158.207 - - [06/May/2017:23:30:38 +0700] "GET /WebBanHang/frontend/images/loading.gif HTTP/1.0" 200 1737
42.112.158.207 - - [06/May/2017:23:30:38 +0700] "GET /WebBanHang/upload/productimg/30904_ram_avexir_core_series__blue.jpg HTTP/1.0" 200 90280
42.112.158.207 - - [06/May/2017:23:30:38 +0700] "GET /WebBanHang/upload/productimg/31130_hyn_500.jpg HTTP/1.0" 200 211285
42.112.158.207 - - [06/May/2017:23:30:38 +0700] "GET /WebBanHang/upload/productimg/35117_gheg304_001.jpg HTTP/1.0" 200 50257
42.112.158.207 - - [06/May/2017:23:30:38 +0700] "GET /WebBanHang/upload/productimg/33656_gheg281_001.jpg HTTP/1.0" 200 49637
42.112.158.207 - - [06/May/2017:23:30:38 +0700] "GET /WebBanHang/upload/productimg/250_35322_ltas880_1.jpg HTTP/1.0" 200 101322
42.112.158.207 - - [06/May/2017:23:30:38 +0700] "GET /WebBanHang/upload/productimg/35212_01.jpg HTTP/1.0" 200 67354
42.112.158.207 - - [06/May/2017:23:30:38 +0700] "GET /WebBanHang/upload/productimg/34327_01.jpg HTTP/1.0" 200 58926
42.112.158.207 - - [06/May/2017:23:30:39 +0700] "GET /WebBanHang/upload/productimg/35614_33482_01.jpg HTTP/1.0" 200 65343
42.112.158.207 - - [06/May/2017:23:30:39 +0700] "GET /WebBanHang/upload/productimg/33260_01.jpeg HTTP/1.0" 200 49971
42.112.158.207 - - [06/May/2017:23:30:39 +0700] "GET /WebBanHang/upload/productimg/32208_pg348q.jpg HTTP/1.0" 200 68888
42.112.158.207 - - [06/May/2017:23:30:39 +0700] "GET /WebBanHang/upload/productimg/35642_14176672049278.jpg HTTP/1.0" 200 138892
42.112.158.207 - - [06/May/2017:23:30:39 +0700] "GET /WebBanHang/upload/productimg/35094_25248_0_may_chu_intel.jpg HTTP/1.0" 200 98369
42.112.158.207 - - [06/May/2017:23:30:39 +0700] "GET /WebBanHang/upload/productimg/35213_34702_01.jpg HTTP/1.0" 200 40995
42.112.158.207 - - [06/May/2017:23:30:39 +0700] "GET /WebBanHang/upload/productimg/31335_pc_asus__m32cd_vn016d.jpg HTTP/1.0" 200 67779
42.112.158.207 - - [06/May/2017:23:30:39 +0700] "GET /WebBanHang/upload/productimg/35319_vgin062_001.png HTTP/1.0" 200 254146
42.112.158.207 - - [06/May/2017:23:30:39 +0700] "GET /WebBanHang/upload/productimg/36104_acer_aspire_xc_780_dt_b5asv_002.jpg HTTP/1.0" 200 27609
42.112.158.207 - - [06/May/2017:23:30:39 +0700] "GET /WebBanHang/upload/productimg/33308_003.png HTTP/1.0" 200 235569
42.112.158.207 - - [06/May/2017:23:30:40 +0700] "GET /WebBanHang/null HTTP/1.0" 404 1024
42.112.158.207 - - [06/May/2017:23:30:40 +0700] "GET /WebBanHang/frontend/images/x42.png HTTP/1.0" 200 669
42.112.158.207 - - [06/May/2017:23:30:40 +0700] "GET /WebBanHang/frontend/images/6x42.png HTTP/1.0" 200 2348
42.112.158.207 - - [06/May/2017:23:30:40 +0700] "GET /WebBanHang/frontend/images/9x42.png HTTP/1.0" 200 2430
