0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:22:33 +0700] "GET /WebBanHang/adv/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23320
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:22:33 +0700] "GET /WebBanHang/categorygroup/ae HTTP/1.1" 200 5326
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:22:33 +0700] "GET /WebBanHang/adv/ckeditor/ckeditor.js HTTP/1.1" 200 592870
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:22:33 +0700] "GET /WebBanHang/adv/adjs/categorygroup.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:22:33 +0700] "GET /WebBanHang/adv/ckeditor/config.js?t=H0CG HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:22:33 +0700] "GET /WebBanHang/adv/ckeditor/skins/moono-lisa/editor.css?t=H0CG HTTP/1.1" 200 46901
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:22:33 +0700] "GET /WebBanHang/adv/ckeditor/lang/vi.js?t=H0CG HTTP/1.1" 200 21923
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:22:33 +0700] "GET /WebBanHang/adv/ckeditor/styles.js?t=H0CG HTTP/1.1" 200 5516
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:22:33 +0700] "GET /WebBanHang/adv/ckeditor/plugins/wsc/skins/moono-lisa/wsc.css HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:22:33 +0700] "GET /WebBanHang/adv/ckeditor/plugins/scayt/skins/moono-lisa/scayt.css HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:22:33 +0700] "GET /WebBanHang/adv/ckeditor/plugins/copyformatting/styles/copyformatting.css HTTP/1.1" 200 1493
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:22:34 +0700] "GET /WebBanHang/adv/ckeditor/skins/moono-lisa/icons.png?t=20af917 HTTP/1.1" 200 12421
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:22:34 +0700] "GET /WebBanHang/adv/ckeditor/contents.css?t=H0CG HTTP/1.1" 200 2955
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:22:36 +0700] "GET /WebBanHang/product/view HTTP/1.1" 200 8073
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:22:36 +0700] "GET /WebBanHang/adv/adjs/product.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:22:37 +0700] "GET /WebBanHang/product/ae HTTP/1.1" 200 7128
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:22:37 +0700] "GET /WebBanHang/adv/adimg/uploadimg.png HTTP/1.1" 200 19487
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:23:11 +0700] "GET /WebBanHang/product/ae HTTP/1.1" 200 7128
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:23:11 +0700] "GET /WebBanHang/adv/adjs/popup.js HTTP/1.1" 200 1510
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:23:17 +0700] "GET /WebBanHang/product/ae HTTP/1.1" 200 7128
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:23:17 +0700] "GET /WebBanHang/adv/adjs/popup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:23:21 +0700] "GET /WebBanHang/product/ae HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:23:21 +0700] "GET /WebBanHang/user/login HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:23:26 +0700] "POST /WebBanHang/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:23:26 +0700] "GET /WebBanHang/view HTTP/1.1" 200 4152
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:23:26 +0700] "GET /WebBanHang/adv/adjs/popup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:23:30 +0700] "GET /WebBanHang/product/view HTTP/1.1" 200 8073
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:23:30 +0700] "GET /WebBanHang/adv/adjs/popup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:23:31 +0700] "GET /WebBanHang/product/ae HTTP/1.1" 200 7128
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:33:57 +0700] "GET /WebBanHang/adv/adjs/popup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:34:36 +0700] "GET /WebBanHang/product/ae HTTP/1.1" 200 7128
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:37:34 +0700] "GET /WebBanHang/product/ae HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:37:34 +0700] "GET /WebBanHang/user/login HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:37:40 +0700] "POST /WebBanHang/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:37:40 +0700] "GET /WebBanHang/view HTTP/1.1" 200 4097
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:37:43 +0700] "GET /WebBanHang/product/view HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:37:43 +0700] "GET /WebBanHang/user/login HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [16/Apr/2017:16:37:49 +0700] "POST /WebBanHang/user/login HTTP/1.1" 302 -
